Plan_Code,Client,Platform,NYFlag,ChildCompanyID,HeaderLogo,HeaderLogo_Position_x,HeaderLogo_Position_y,HeaderLogo_Width,HeaderLogo_Height,Company_Text,Company_Text_Position_x,Company_Text_Position_y,Company_Text_Width,Company_Text_Height,Company_ShowFlag,Address,Address_Position_x,Address_Position_y,Address_Width,Address_Height,Address_ShowFlag,PhoneNumber,ServiceCenter,ServiceCenterHours,FaxNumber,ProductType,Broker_Dealer_Services,Footer,Footer_Position_x,Footer_Position_y,Footer_Width,Footer_Height,Email_Address,Web_Address,Client_Abbrv,Budget_Center,Reply_Envelope,Inserter_Stock,Tray,CompanyCode,DOL_Disclosure,Disclosure_Position_x,Disclosure_Position_y,Disclosure_Position_Width,Disclosure_Position_Height,Secondary_Logo,SecLogo_Position_x,SecLogo_Position_y,SecLogo_Position_Width,SecLogo_Position_Height,Product_Description,MailingPageLogo_Pos_x,MailingPageLogo_Pos_y,Payment Company Address
125,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_125_244_245_266.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
126,Commonwealth,LC,Y,892878967,Images/LTRALLM.jpg,36.00,36.00,153.50,24.00,First Allmerica Financial Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,195.00,39.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_126_178_165.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSAMVA,2101,hash4: GS ALLMERICA VA REPLY ENV ,65-21021-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
127,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_125_244_245_266.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
128,Commonwealth,LC,Y,892878967,Images/LTRALLM.jpg,36.00,36.00,153.50,24.00,First Allmerica Financial Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,195.00,39.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_126_178_165.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSAMVA,2101,hash4: GS ALLMERICA VA REPLY ENV ,65-21021-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
129,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-366-1492,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_129_257.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
130,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-366-1492,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_129_257.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
131,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-366-1492,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_129_257.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
132,Commonwealth,LC,Y,892878967,Images/LTRALLM.jpg,36.00,36.00,153.50,24.00,First Allmerica Financial Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,195.00,39.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_126_178_165.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSAMVA,2101,hash4: GS ALLMERICA VA REPLY ENV ,65-21021-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
133,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_125_244_245_266.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
134,Commonwealth,LC,Y,892878967,Images/LTRALLM.jpg,36.00,36.00,153.50,24.00,First Allmerica Financial Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,195.00,39.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_126_178_165.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSAMVA,2101,hash4: GS ALLMERICA VA REPLY ENV ,65-21021-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
135,Commonwealth,LC,N,892878966,Images/LTRGOLD.jpg,36.00,36.00,55.00,55.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,97.00,52.00,175.00,46.00,TRUE,1-800-533-2124,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_135.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
136,Commonwealth,LC,Y,892878967,Images/LTRGOLD.jpg,36.00,36.00,55.00,55.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,97.00,52.00,175.00,46.00,TRUE,1-800-533-2124,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_135.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
137,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_125_244_245_266.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
138,Commonwealth,LC,N,892878966,Images/LTRPIOR.jpg,36.00,36.00,140.00,26.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,36.00,66.00,175.00,20.00,TRUE,1-800-688-9915,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_138.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSP,2101,hash4: GS PIONEER REPLY ENV,65-21031-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
